term,E,P,A
911_dispatcher,2.27,2.03,2.31
accountant,1.49,1.26,-0.09
actor,1.12,1.4,1.5
actress,1.53,1.51,1.59
actuary_for_an_insurance_company,0.96,1.12,-0.05
acupuncturist,1.61,0.79,-0.71
administrative_assistant,1.45,0.78,0.33
advertising_executive,0.84,1.5,0.57
advertising_salesman,0.49,0.58,1.2
aerobics_instructor,1.8,0.7,2.34
aeronautical_engineer,1.7,1.85,1.11
agricultural_engineers,1.8,1.27,0.79
agricultural_inspector,1.44,NA,0.25
agricultural_research_director,1.34,1.27,0.07
aide_on_a_land_survey_crew,1.14,-0.17,0.06
air_conditioning_mechanic,1.14,0.92,1.21
air_traffic_controller,1.69,2.1,1.43
aircraft_electrician,1.74,1.58,1.55
aircraft_riveter,1.44,1.33,2.16
airline_flight_attendant,1.86,0.75,1.1
airline_flight_engineer,1.78,1.83,1.56
airline_ground_crew_chief,1.51,1.7,2.09
airline_pilot,2.13,2.2,0.76
airline_refueler,1.09,0.89,2.12
airline_stewardess,1.88,0.46,1.1
airline_ticket_agent,1.28,0.47,0.7
airplane_mechanic,1.52,1.75,1.74
airport_security_screener,0.63,1.69,1.08
ambulance_driver,2.23,1.93,2.52
animal_control_officer,1.15,1.27,1.3
animal_shelter_worker,2.36,0.69,1.29
animal_trainer,1.78,1.28,1.29
animal_trapper,-0.36,0.75,0.71
app_designer,1.37,1.02,-0.46
architect,1.86,1.6,0.16
army_colonel,0.73,2.58,2.08
army_corporal,1.12,1.87,2.05
army_private,1.08,0.03,1.73
artist,1.6,0.23,-0.57
assembly_line_worker,1.49,-0.12,2.06
astronomer,2.14,1.31,0
attendant_in_an_ice_skating_rink,1.27,0.27,0.72
auctioneer,1.58,1.53,2.91
audiologists,1.57,0.89,0.15
author,1.67,0.98,-1.06
auto_wrecker,0.59,1.27,1.88
autobody_repairer,0.91,0.98,1.73
automobile_mechanic,1.28,1.27,1.93
automobile_painter,1.29,0.25,0.99
automobile_repairman,1.23,1.22,1.74
automobile_repairwoman,1.58,1.15,1.83
backhoe_operator,1.12,1.28,1.92
bail_bond_provider,-0.06,1.56,0.77
baker,2.17,0.45,0.85
ballet_dancer,1.81,0.66,1.01
bank_examiner,0.95,1.71,-0.6
bank_manager,1.44,2.02,0.24
bank_teller,1.73,0.56,-0.2
banker,1.22,1.73,-0.18
barber,2.11,0.41,0.74
bartender,1.84,0.51,2.17
beer_maker,1.35,0.89,0.83
bell_boy,1.53,-0.88,1.08
bicycle_messenger,1.33,-0.51,1.47
bicycle_repairer,1.05,-0.14,0.33
bill_collector,-1.21,0.69,0.46
billing_clerk,0.69,-0.01,-0.41
biologist,1.8,1.25,-0.11
biomedical_engineer,1.87,1.7,0.25
black_top_machine_operator,1,1.07,2.12
blackjack_dealer,0.79,0.75,1.15
blast_furnace_helper_in_a_steel_mill,0.87,1.24,2.08
boilermaker,0.56,0.93,1.66
bookbinding_machine_operator,1.12,0.3,1.05
bookkeeper,1.4,0.25,-1.09
bottle_capping_machine_operator,1.15,0.53,1.75
bottle_washing_machine_operator,0.56,-0.2,1.74
box_folding_machine_operator,0.84,0.26,1.01
bricklayer,1.1,1.16,1.61
bridal_consultant,1.69,0.57,0.5
bridge_ironworker,1.21,1.58,2.33
brokerage_clerk,0.83,0.69,0.24
budget_analyst,1.32,1.23,-0.27
bulldozer_mechanic,1.07,1.36,1.68
burglar_alarm_installer,1.7,0.96,0.8
bus_driver,1.74,0.43,0.78
business_services_sales_representative,1.22,0.63,0.6
butcher,1.18,0.82,1.12
cabinet_maker,1.43,0.49,1.09
cable_tv_installer,1.44,0.59,0.94
cafeteria_server,1.78,-0.41,1.29
cafeteria_supervisor,1.14,0.62,0.92
campaign_fundraiser,0.89,1.11,1.59
car_alarm_installer,0.88,0.3,1.05
car_rental_agent,1.1,0.29,0.56
car_tester_for_an_automobile_factory,1.3,0.66,1.56
carpenter,1.46,1.14,1.9
carpenters_helper,1.11,0.05,1.52
carpet_cutter_for_a_rug_manufacturer,0.83,0.18,1.4
carpet_installer,1.29,0.74,1.21
carwash_attendant,1.13,-0.51,1.3
caseworker_aide,1.35,0.75,-0.01
cashier,1.64,-0.54,1.17
cashier_supervisor,1.08,0.77,0.73
casino_cashier,1.16,0.34,1.23
casino_manager,0.88,2.19,1.88
casino_slot_supervisor,0.71,1.15,1.77
cement_finisher,1.07,1.36,1.65
ceo,0.46,2.88,0.91
cheese_maker,1.25,-0.03,-0.15
chef,1.79,1.83,2.14
chemical_engineer,1.42,1.56,0.26
chemical_laboratory_technician,1.51,1.15,0.08
chemist,1.72,1.47,0.06
chief_executive_officer,0.9,2.74,1.16
childcare_workers,1.9,0.62,1.47
chiropractor,1.89,1.5,-0.02
cinematographer,1.23,0.99,0.68
civil_engineer,1.7,1.58,0.86
cleaning_woman,1.77,-0.6,1.16
clergy,1.5,1.15,-0.6
clerk,1.13,-0.26,0.36
clerk_opening_new_accounts_at_bank,1.65,0.44,-0.07
cloth_dyer,1.14,0.33,0.79
cloth_grader_in_a_textile_mill,0.82,0.7,0.55
coal_hauler_operator,0.39,1.05,2
coal_miner,0.86,0.41,1.6
college_professor,1.6,1.65,-0.22
combination_machine_tool_operator,0.89,1.14,1.89
commercial_fisher,1.08,0.65,1.21
computer_hardware_engineer,1.6,1.27,0.03
computer_helpdesk_technician,1.26,0.64,-0.11
computer_network_engineer,1.67,1.48,0.24
computer_operator,1.51,0.71,-0.04
computer_programmers,1.62,1.24,-0.35
computer_repairer,1.6,1.1,-0.16
computer_scientist,1.56,1.33,-0.24
computer_support_specialists,1.48,1.03,-0.28
computer_systems_analysts,1.46,0.99,0.09
computer_technician,1.91,1.2,0.21
construction_foreman,1.14,2.08,1.94
construction_laborer,1.18,0.92,2.44
construction_managers,0.94,1.96,1.78
construction_riveter,0.94,1.24,2.17
conveyor_belt_operator,0.8,0.17,1.59
cook,2.02,1.04,2.09
cop,1.24,2.48,1.9
corporate_trainer,1.31,1.48,0.9
corrections_officers_supervisor,0.49,1.9,1.02
correspondence_clerk,1.07,-0.34,-0.32
cosmetologist,1.67,0.47,0.34
cotton_picker,0.98,-0.52,0.86
counselors,1.9,1.09,-0.59
counter_clerk_in_a_auto_parts_store,1.38,-0.25,0.4
county_agricultural_agent,1.23,1.2,0.04
county_sheriff,1.63,2.42,1.55
court_bailiff,0.77,1.53,0.4
court_clerk,1.11,0.77,0.18
court_transcriber,1.1,0.11,-0.04
crane_operator,1.18,1.73,1.66
crating_and_moving_estimator,1.13,0.95,0.93
credit_card_record_clerk_for_a_department_store,0.72,0.24,-0.12
credit_risk_analyst,0.72,1.32,-0.01
crushing_machine_operator,0.91,1.52,2.27
currency_sorter_in_a_bank,1.21,-0.05,0.15
customer_service_representatives,1.17,0.13,0.95
cutting_machine_operator,0.81,0.74,1.9
dairy_scientist,1.53,0.84,-0.31
dairy_technologist,1.11,0.48,0.1
data_entry_clerk,1.31,-0.45,-0.09
database_administrators,1.22,0.93,-0.23
day_care_worker,1.79,0.62,1.25
day_laborer,1.22,0.37,1.7
deck_engineer_on_a_ship,1.25,1.29,1.45
deep_sea_diver,1.49,0.99,0.68
dental_crown_and_bridge_maker,1.49,0.7,-0.21
dental_hygienist,1.98,0.93,0.4
dentist,1.71,1.65,0.54
dentists_attendant,1.64,0.27,0.28
deputy_sheriff,1.35,2.41,1.33
designers,1.6,1.11,0.4
desk_clerk_in_a_hotel,1.65,0,0.2
desktop_publisher,1.45,0.93,-0.19
detective,1.31,2.28,0.68
diesel_motor_mechanic,1.1,1.14,1.56
dietary_technician,1.6,0.35,-0.38
dietitian,1.63,0.29,-0.34
dirt_shoveler_in_a_mine,0.72,1.2,2
dishwasher,1.44,-0.25,1.87
disposal_plant_operator,0.67,1.38,1.76
ditch_digger,0.79,0.52,1.53
doctor,2.28,2.22,0.7
dog_groomer,2.07,-0.05,0.93
donut_machine_operator,1.32,-0.39,1.24
door_to_door_salesman,0.1,-0.44,0.62
door_to_door_saleswoman,0.06,-0.65,1.28
dormitory_counselor,1.36,0.77,0.15
draftsman,1.28,0.71,0.01
drama_therapist,1.06,0.68,0.51
drawbridge_tender,0.9,0.84,0.3
dredge_operator,0.75,0.99,1.35
dressmaker,1.66,0.53,-0.02
drill_press_operator,1.11,1.3,2.3
driving_school_teacher,1.49,0.92,0.36
dry_cleaner,1.44,0.09,0.67
drywall_installer,1.21,1.05,1.52
dynamite_blaster,0.12,2.44,2.76
economic_research_assistant,1.25,0.59,-0.15
economist,1.31,1.21,-0.03
editor,1.25,1.71,0.25
eldercare_aide,2.1,0.58,-0.29
electric_meter_installer,1.28,0.72,0.73
electric_motor_repairer,1.52,1.27,1.72
electric_power_lineman,1.82,1.65,1.71
electric_power_station_attendant,1.39,1.18,1
electrical_engineer,1.69,1.62,0.89
electrical_power_line_installer,1.41,1.53,1.52
electrical_technician,1.42,1.16,0.77
electrician,1.69,1.48,1.18
elementary_school_teachers,2.59,1.27,1.45
elevator_repairer,1.51,0.53,0.95
elevator_safety_inspector,1.48,1.25,0.68
embalmer,0.66,0.24,-0.99
employee_benefits_director,1.32,1.82,0.13
employee_benefits_specialist,1.3,1.21,0.02
employee_development_director,1.26,1.37,0.32
employment_clerk,1.4,0.45,-0.02
engineer,1.88,1.95,1.17
engineering_design_manager,1.42,1.75,0.72
engraver,1.43,0.37,0.27
enlisted_man_in_the_army,1.64,0.8,2.32
envelope_stuffer,0.65,-1.65,-0.77
environmental_compliance_inspector,0.97,1.19,0.19
environmental_engineer,1.75,1.69,0.86
environmental_scientist,1.81,1.43,0.33
equipment_purchasing_agent,1.22,1.03,0.43
event_planner,1.79,1.19,1.31
exercise_therapist,2.09,1.36,1.3
farm_foreman,1.41,1.67,1.59
farm_laborer,1.67,0.84,1.76
farm_owner_and_operator,2.3,1.73,2.05
farm_produce_buyer,1.61,1.03,0.56
fashion_designer,1.4,1.34,0.75
fashion_model,1.33,0.77,0.5
fast_food_worker,0.91,-0.9,1.57
fence_installer,1.18,0.19,1.2
fiber_machine_tender,0.69,0.2,0.93
file_clerk,1.45,-0.43,-0.48
filling_station_attendant,1.27,0.05,0.52
film_editor,1.71,1.42,0.31
financial_analyst,1.26,1.29,-0.09
fire_department_lieutenant,2.38,2.52,2.36
fire_inspector,1.94,1.89,0.84
firefighter,3.01,2.84,2.95
fireman,2.69,2.66,2.85
fitter_in_a_shipyard,1.08,0.83,1.61
flour_miller,0.94,0.14,0.93
food_processing_worker,0.83,-0.07,1.39
foot_doctor,1.5,0.93,-0.2
foreign_language_translator,1.91,1.09,0.6
foreman_in_a_factory,0.32,1.69,1.52
foresters_aide,1.09,0.35,0.59
forge_operator_in_a_steel_mill,1.06,1.49,2.08
fork_lift_driver,1.04,1.1,1.64
fortune_teller,-0.39,-0.82,-0.66
freight_checker,0.94,0.72,1.15
freight_elevator_operator,1.1,0.56,1.1
freight_shipping_agent,1.33,1.22,1.43
funeral_director,1.27,0.83,-1.04
funeral_home_assistant,1.23,-0.02,-1.11
funeral_home_director,1.3,0.67,-0.85
furniture_refinisher,1.5,0.33,0.36
game_warden,0.82,1.72,0.56
garbage_collector,1.19,0.29,1.92
gardener,1.74,0.15,0.12
general_contractor,1.03,1.86,1.54
general_manager,1.1,1.88,0.83
geological_technician,1.51,0.98,0.21
geologist,1.75,1.06,0.48
gift_wrapper_in_a_department_store,1.71,-0.58,0.42
grocery_bagger,1.6,-0.43,0.88
ground_crew_supervisor_in_a_public_park,1.5,0.75,0.91
guidedog_trainer,2.23,1.14,1.34
hairdresser,1.78,0.55,1.16
hairstylist,1.97,0.56,0.91
hazardous_materials_removal_worker,0.86,1.14,1.03
head_cook,1.53,1.87,2.55
healthcare_manager,1.2,1.59,0.62
hearing_aid_technician,1.94,0.56,-0.31
heat_sealing_machine_operator,0.79,0.99,1.36
heavy_equipment_operator_on_a_road_construction_job,1.29,2.03,2.62
high_school_teacher,1.91,1.1,0.8
highway_maintenance_workers,1.21,0.74,1.88
home_health_aides,1.95,0.42,0.26
home_refrigerator_repairer,1.3,0.66,0.55
horse_breeder,1.44,0.89,0.73
hospital_administrator,1.6,2.48,0.67
hospital_attendant,1.72,0.51,1.09
house_painter,1.47,0.29,1.18
housekeeper_in_a_private_home,1.96,-0.41,0.73
human_resources_consultant,1.07,1.31,0.33
human_resources_manager,1.24,1.43,-0.12
human_services_coordinator,1.32,1.35,0.17
hunter,0.09,1.24,0.08
importer,1.29,1.48,0.71
income_tax_preparer,0.82,1.05,-0.41
information_security_analysts,1.3,1.29,0.1
information_technology_systems_director,1.21,1.65,0.29
insulation_installer,1.06,0.67,1.3
insurance_agent,1.05,0.88,0.26
insurance_claims_adjuster,0.98,1.28,-0.17
insurance_claims_clerk,0.57,0.62,-0.32
insurance_sales_supervisor,0.92,0.92,0.15
insurance_underwriters,0.31,0.9,-0.55
irrigation_pump_installer,0.96,0.79,1.41
janitor,1.89,-0.6,0.64
jewelry_maker,1.85,0.52,-0.39
journalist,1.27,1.45,0.79
judge,0.69,2.76,0.25
key_maker,1.34,0.19,0.38
kiln_oven_operator,1.02,0.64,0.86
kindergarten_teachers,2.6,1.26,1.58
kitchen_steward,1.49,0.26,1.54
landlord,0.32,1.93,-0.09
lathe_operator,0.94,0.71,1.1
law_clerk_for_judge,1.22,0.67,0.21
lawn_caretaker,1.57,0.54,1.96
lawn_mower_engine_repairer,1.12,0.53,1.14
lawyer,0.7,2.48,1.24
legal_assistant,1.32,0.34,0.4
legislator,-0.08,2.06,0.66
lens_grinder,1.25,0.02,0.93
librarian,2.39,0.09,-1.62
library_assistant,2.03,-0.45,-1.91
library_circulation_technician,1.52,-0.03,-1.06
licensed_practical_nurse,2.36,1.29,1.04
life_scientist,1.85,1.08,0.07
lifeguard,2.4,1.95,1.81
loan_officer,0.48,1.71,-0.18
loan_processor_for_a_bank,0.79,1.7,-0.34
locksmith,1.57,0.93,0.09
locomotive_electrician,1.38,1.52,1.75
locomotive_engineer,1.66,1.76,1.81
logger,1.1,1.84,2.25
logistics_planner,1.51,0.99,0.09
longshoreman,0.97,1.26,1.46
loom_operator,0.98,0.47,0.82
lumberjack,1.09,1.88,2.72
machine_assembler,1.25,0.84,1.78
machine_attendant_in_a_factory,0.98,0.34,2.12
machine_oiler,1,0.32,0.93
machine_operator_in_a_factory,0.9,0.89,1.92
machine_operator_in_a_shoe_factory,1.06,0.2,1.75
machine_operator_in_a_textile_mill,0.96,0.69,2.28
machinery_mechanic,1.43,1.53,2.18
machinist,1.41,1.49,2.2
maid,1.81,-0.65,0.55
mail_carrier,1.9,0.48,0.93
mail_order_clerk,1.06,-0.36,0.25
mailman,2.06,0.44,0.88
mailroom_clerk_for_a_private_company,0.99,-0.77,0.24
management_consultant,1.39,1.5,0.59
manager,1.17,1.96,1.28
manager_for_a_motel_chain,1.02,0.85,0
manager_of_a_cement_factory,1.08,1.61,1.46
manager_of_a_movie_theater,1.48,0.65,0.46
manager_of_an_automobile_plant,1.21,1.86,1.54
manicurist,1.37,-0.48,-0.36
marine_engineer,1.69,1.82,1.29
market_research_analyst,1.27,0.62,-0.05
market_research_interviewer,0.98,0.4,0.01
marketing_manager,1,1.46,1.06
massage_therapist,1.76,0.42,-0.42
materials_engineers,1.13,1.25,1
mathematical_engineering_technician,1.23,1.21,-0.05
mathematician,1.63,0.83,-0.6
mayor_of_a_large_city,1.15,2.7,1.57
meat_grader,0.65,0.72,0.98
mechanic,1.4,1.74,1.93
mechanical_engineer,1.84,1.75,1.51
mechanical_trouble_shooter,0.85,1.28,1.25
mechanics_helper,1.2,0.2,1.7
medical_assistants,2.16,0.72,0.94
medical_record_librarian_in_a_hospital,1.52,0.19,-0.56
medical_technician,2.17,1.39,1.16
medical_transcriber,1.53,0.38,-0.08
member_of_city_council,0.55,1.46,0.19
merchant_seaman,0.94,0.96,1.64
metal_caster_in_a_foundry,0.94,1.02,1.84
metal_plater,0.83,0.8,1.48
metal_stamping_machine_operator,1.17,0.88,1.8
meteorologist,1.91,1.09,0.5
meter_maid,0.48,0.42,0.41
meter_reader_for_a_gas_or_electric_company,1.18,0.12,-0.01
middle_school_teacher,2.17,0.79,0.96
midwife,1.84,1.32,0.62
migrant_worker,1.03,-0.74,0.98
milling_machine_operator,1.09,0.95,1.74
millwright,0.98,0.88,0.97
mining_engineer,1.28,1.68,1.44
missionary,1.84,0.7,-0.25
mobile_home_installer,1.27,0.94,1.61
molding_machine_operator,1.02,0.83,1.49
motion_picture_projectionist,1.39,0.66,0.04
museum_curator,1.73,0.7,-0.36
museum_security_chief,1.56,1.19,-0.04
musician,2.04,1.46,2.35
narcotics_investigator,1.09,2.07,1.14
natural_childbirth_and_infant_care_instructor,2.16,1.34,0.69
network_administrator,1.14,1.39,0.43
newspaper_proofreader,1.28,0.43,-0.56
nuclear_engineers,1.29,2.07,0.85
nuclear_technician,1.28,1.98,0.86
nurse_anesthetist,1.85,1.58,0.73
nurse_practitioner,2.17,1.49,0.98
nut_roaster,1.18,-0.35,0.25
nutritionist,1.92,0.81,-0.14
occupational_rehabilitation_aide,2.21,0.89,0.51
occupational_therapists,2.27,1.09,0.51
office_clerk,1.49,-0.24,-0.15
office_supervisor,0.84,1.66,0.43
oil_exploration_engineer,0.9,1.59,1.38
oil_refining_equipment_operator,0.97,1.41,1.84
oil_rig_worker,0.93,1.33,2.17
oil_well_driller,1.09,1.88,2.26
operations_analyst,1.1,0.87,0.07
operations_manager,1.3,1.57,1.28
optician,1.68,1.13,-0.47
optometrist,1.94,1.21,-0.29
order_expediter_for_a_wholesale_business,1.22,0.96,1.41
paid_campaign_staff_member,0.37,0.65,1.51
paint_tester_in_a_paint_manufacturing_plant,0.77,-0.13,-0.02
paperhanger,0.95,-0.05,0.01
paralegals,1.5,0.49,0.11
paramedic,2.86,2.35,2.62
parking_enforcement_officer,-0.04,1.25,0.73
parking_lot_attendant,0.67,-0.27,0.01
parole_officer,0.97,2,0.78
party_caterer,1.97,0.81,2
pattern_maker_in_a_metal_shop,1.11,0.99,1.44
payroll_clerk,0.9,0.28,-0.69
personal_financial_advisors,1.07,1.28,-0.12
pharmacist_technician,1.67,0.86,0.63
pharmacists,1.89,1.52,-0.09
pharmacy_aides,1.48,0.45,0.36
photocopying_machine_operator,1.16,-0.02,0.77
photograph_developer,1.47,0.26,-0.82
photographer,2.03,0.84,0.28
physical_therapists,2.23,1.45,0.95
physical_therapy_assistant,2.4,0.87,0.47
physician,2.4,2.51,1.15
physician_assistants,1.92,1.2,0.73
physicist,1.53,1.32,-0.17
piano_tuner,1.54,0.37,-0.14
pile_driver_operator,0.73,1.01,1.91
plasterer,0.99,0.18,1
plastic_mold_maker,1.26,0.37,0.9
plumber,1.4,1.04,1.03
podiatrist,1.2,0.66,-0.34
police_lieutenant,1.41,2.16,1.33
police_officer,1.54,2.35,1.87
policeman,1.17,2.55,1.96
policewoman,1.91,2.12,1.99
post_office_clerk,1.3,0.02,0.1
post_office_mail_sorter,1.18,-0.3,0.29
postmaster,1.7,1.11,0.58
power_plant_operator,1.08,1.84,1.87
preparer_of_clothing_patterns,1.42,0.24,-0.01
preschool_teachers,2.27,1.22,1.55
priest,1.37,1.44,-0.67
printing_press_operator,0.89,0.26,1.65
prison_guard,-0.3,1.82,0.83
private_detective,1.17,1.68,0.31
professional_athlete,1.51,2.5,2.82
professional_babysitter,2.16,0.81,0.97
professionally_trained_forester,1.55,1.32,1.33
professionally_trained_health_therapist,2.23,1.52,0.58
professor,1.74,1.78,0.03
property_manager,0.48,1.64,0.46
prosthetic_aide,1.77,0.75,0
psychologist,1.85,1.6,-0.8
public_health_analyst,1.19,1.17,0.12
public_health_educator_in_a_clinic,1.43,1.19,0.58
public_opinion_pollster,0.64,0.54,0.6
public_relations_manager,1.27,1.44,0.88
public_relations_specialist,1.24,1.31,0.96
public_safety_director,1.45,1.4,0.45
pump_house_engineer,1.22,0.97,1.1
pumping_station_operator,0.85,0.29,1.04
purchasing_clerk,1.26,0.29,0.06
purchasing_manager_for_a_business,1.18,1.35,0.45
quality_checker_in_a_manufacturing_plant,1.2,1.32,0.85
quality_control_engineer,1.42,1.37,0.64
rabbi,2.03,1.53,-0.87
radiation_therapists,1.98,1.19,0.16
radio_operator,1.45,0.78,1.21
radio_tester,1.01,0.1,0.23
rail_track_repairer,1.02,1.24,1.89
railroad_conductor,1.66,1.75,1.42
railroad_detective,0.89,1.2,0.62
railroad_signal_mechanic,1.53,1.53,1.56
railroad_signal_tower_operator,1.53,1.54,1.26
railroad_switchman,1.57,1.39,1.41
real_estate_agent,1.34,1.08,0.8
real_estate_appraiser,0.91,1,-0.19
rebar_reinforcing_iron_bar_worker,0.98,1.2,1.66
receptionist,1.75,0.05,0.38
recreation_attendant_supervisor,1.63,1.11,1.2
refrigerating_machine_operator,1.31,0.92,1.42
regional_manager_for_a_bus_company,1.29,1.81,0.73
regional_sales_manager,0.76,1.52,0.85
registered_nurse,2.67,1.85,1.91
religious_education_director,1.12,0.88,0.12
reporter,0.7,1.59,1.64
respiratory_therapists,2.01,1.21,-0.05
restaurant_general_manager,1.62,1.9,1.62
restaurant_host,1.94,0.17,1.18
restaurant_hostess,2.03,-0.06,1.62
retail_salesperson,1.04,-0.32,0.99
rolling_mill_operator_in_a_metal_shop,0.8,0.93,1.91
roof_bolter_in_mine,0.7,1,1.56
roofer,1.3,1.02,2.11
rubber_stamp_maker,1.06,-0.2,0.26
sailor,1.28,0.86,1.11
sailor_in_navy,1.72,1.32,1.84
salad_maker_in_a_hotel_kitchen,1.42,-0.31,0.91
sales_engineer,1.14,0.84,0.98
salesperson,0.96,0.35,1.36
sandfill_operator_in_a_mine,0.67,0.78,1.44
saw_sharpener,1.12,1.01,1.79
school_counselor,1.75,1.13,0.05
school_crossing_guard,2.01,0.75,0.71
school_principal,1.38,2.27,0.77
secretary,2.01,-0.05,0.51
security_guard,1.42,1.28,0.04
semiconductor_assembler,1.13,1.04,1.17
senator,-0.2,2.35,0.4
septic_tank_cleaner,0.57,0.21,0.99
sergeant,0.69,2.35,2.18
service_station_manager,0.96,0.91,0.99
sewer,0,-0.12,0.6
sewing_machine_assembler,1.04,0,1.47
sewing_machine_operator,1.28,0,1.45
sheet_metal_duct_installer,0.8,0.49,1.54
shelf_stocker_in_a_grocery_store,1.17,-1.08,0.57
ship_fitter_apprentice,1.05,0.19,1.05
shipping_clerk,1.24,0.39,0.98
ships_captain,1.73,2.5,1.64
shoemaker,1.64,0.18,0.34
shoeshiner,1.47,-0.73,0.12
short_order_cook,0.84,-0.12,2.13
sign_painter,1.16,-0.07,0.21
singer,1.69,1.57,1.9
skilled_craftsman_in_a_metalworking_shop,1.61,1.54,2.01
social_scientist,1.54,0.82,0.07
social_security_administrator,0.78,1.63,0.07
social_worker,1.48,1.08,0.16
sociologist,1.46,0.92,-0.25
software_developers,1.6,1.15,-0.62
solar_panel_installer,1.55,1.15,0.98
soldier,1.8,2.18,2.32
sound_engineering_technician,1.75,1.19,1.47
special_education_teacher,2.61,1.28,0.48
speech_therapist,2.27,1.44,0.07
spotlight_operator,1.01,0.39,-0.03
spray_painter_in_a_manufacturing_plant,1.02,0.53,1.65
stapling_machine_operator_in_a_furniture_factory,0.97,0.69,1.83
state_trooper,1.11,2.52,1.36
statistical_clerk,1.08,0.13,-0.51
statistician,1.17,0.73,-0.57
steam_presser_in_a_garment_factory,1.08,0.45,1.78
steel_rigger_on_a_construction_job,0.98,1.89,2.33
stenographer,1.18,-0.02,0.07
stock_broker,0.46,1.69,1.57
street_sweeper_operator,1.01,0.48,1.55
student_admissions_clerk,1.34,0.64,-0.26
subway_operator,1.26,1.3,1.34
supervisor_in_a_auto_repair_shop,0.9,1.18,1.08
supervisor_in_a_machine_shop,1.04,1.6,1.84
supervisor_of_a_janitorial_service,0.9,0.83,0.63
supervisor_of_a_truck_delivery_service,1.24,1.43,1.25
surgeon,2.47,2.88,1.33
surveyor,1.3,0.78,0.13
table_clearer_in_a_restaurant,1.22,-0.85,1.71
tailor,1.6,0.47,-0.19
talent_agent,0.84,1.66,1.55
tank_crew_member,1.13,1.59,1.77
tax_collector,-0.63,1.66,-0.01
taxicab_driver,0.78,0.14,1.29
teacher_assistant,1.76,0.25,0.58
technician,1.48,1.12,0.92
technician_drawing_blood,1.51,0.71,-0.07
telegraph_operator,1.09,0.12,0.13
telemarketers,-1.21,-1.19,1.13
telephone_answering_service_operator,0.93,-0.35,0.72
telephone_installer,0.9,0.37,0.39
telephone_operator,1.21,0.16,0.84
termite_exterminator,1.36,0.88,1.04
textile_worker,1.19,0.14,1.15
theater_usher,1.39,-0.6,-0.41
ticket_taker,1.18,-0.42,0.09
tire_retreader,0.83,0.27,1.2
tool_and_die_maker,0.97,0.77,1.29
tool_programmer_in_a_manufacturing_plant,1.02,0.91,1.02
tool_sharpener,0.92,0.43,1.38
toolroom_helper_in_a_chain_saw_factory,0.56,0.18,1.71
tour_guide,1.9,0.21,1.29
train_attendant,1.72,0.92,1.28
trash_hauler,1.44,0.88,2.21
travel_agent,1.7,0.75,0.19
truck_dispatcher,1.13,1.19,1.58
truck_driver,1.08,1.33,1.51
truck_drivers_helper,0.91,0.21,0.95
tv_announcer,1.25,1.31,1.59
tv_director,1.09,2.21,1.58
tv_repairman,1.54,0.58,0.39
typesetter,1.1,-0.02,0.73
typist,1.01,-0.42,1.03
upholsterer,1.26,0.14,0.27
urban_planner,1.08,1.17,0.49
vending_machine_coin_collector,0.83,-0.44,0.63
veneer_glue_spreader,0.58,-0.38,-0.2
veterinarian,2.42,1.78,1.07
veterinarian_assistant,2.2,0.79,0.51
video_game_repairer_in_arcade,1.36,0.34,1.02
waiter,1.77,-0.34,1.4
waitress,1.77,-0.5,2.04
warehouse_helper,1.02,-0.09,1.51
watch_assembler,1.3,0.14,-0.79
water_well_driller,1.11,1.22,1.82
web_developers,1.44,1.02,-0.53
weight_station_operator,0.71,0.5,0.45
welder,1.53,1.2,1.88
welfare_interviewer,0.63,1.22,-0.29
wholesale_distributor,1.2,0.9,0.61
wildlife_technician,1.87,1.09,0.91
winch_operator,1.03,1.39,1.65
wind_turbine_mechanic,1.18,1.56,1.46
window_glass_installer,1.17,0.37,0.8
windshield_installer,1.57,0.53,0.83
wire_pulling_machine_operator,1.32,0.9,1.52
wood_lathe_operator,1.17,0.42,1.47
wood_miller,1.04,0.73,1.61
wood_model_maker,1.49,0.78,0.94
wood_technologist,0.95,0.62,0.78
woodworker,1.69,1,1.45
writer_of_technical_manuals,1.17,0.37,-1.02
writers,1.84,0.9,-1.03
x_ray_technician,1.96,0.97,0.49
yarn_spinner_in_a_textile_mill,1.07,0.15,0.93